name,city,state,url,website,buy_link,phone,email,type,notes,source,source_url,prices
Acme Sunshades Enterprise Inc.,Hayward,CA,https://textileconnect.com/directory/acme-sunshades-enterprise-inc/,https://textileconnect.com/directory/acme-sunshades-enterprise-inc/,https://textileconnect.com/directory/acme-sunshades-enterprise-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
ACO Polmer Products,Charlotte,NC,https://textileconnect.com/directory/aco-polmer-products/,https://textileconnect.com/directory/aco-polmer-products/,https://textileconnect.com/directory/aco-polmer-products/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
A Creative Canvas Co. Inc.,Denver,CO,https://textileconnect.com/directory/a-creative-canvas-co-inc/,https://textileconnect.com/directory/a-creative-canvas-co-inc/,https://textileconnect.com/directory/a-creative-canvas-co-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B.W.T. Industries Inc.,Long Beach,CA,https://textileconnect.com/directory/b-w-t-industries-inc/,https://textileconnect.com/directory/b-w-t-industries-inc/,https://textileconnect.com/directory/b-w-t-industries-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B’s Kustom Kreations,Jefferson,MO,https://textileconnect.com/directory/bs-kustom-kreations/,https://textileconnect.com/directory/bs-kustom-kreations/,https://textileconnect.com/directory/bs-kustom-kreations/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & A Remnant Co,Greensboro,NC,https://textileconnect.com/directory/b-a-remnant-co/,https://textileconnect.com/directory/b-a-remnant-co/,https://textileconnect.com/directory/b-a-remnant-co/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
"B & B Accessories, Inc.",Syosset,NY,https://textileconnect.com/directory/b-b-accessories-inc/,https://textileconnect.com/directory/b-b-accessories-inc/,https://textileconnect.com/directory/b-b-accessories-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B&B Accessories Inc,Syosset,NY,https://textileconnect.com/directory/bb-accessories-inc/,https://textileconnect.com/directory/bb-accessories-inc/,https://textileconnect.com/directory/bb-accessories-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B&B Sweater Mills,Brooklyn,NY,https://textileconnect.com/directory/bb-sweater-mills/,https://textileconnect.com/directory/bb-sweater-mills/,https://textileconnect.com/directory/bb-sweater-mills/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & B Swimwear Inc,Jefferson,NC,https://textileconnect.com/directory/b-b-swimwear-inc/,https://textileconnect.com/directory/b-b-swimwear-inc/,https://textileconnect.com/directory/b-b-swimwear-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & B T-Shirts,Greensboro,NC,https://textileconnect.com/directory/b-b-t-shirts/,https://textileconnect.com/directory/b-b-t-shirts/,https://textileconnect.com/directory/b-b-t-shirts/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & B Trim,Jefferson,SC,https://textileconnect.com/directory/b-b-trim/,https://textileconnect.com/directory/b-b-trim/,https://textileconnect.com/directory/b-b-trim/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & D Hosiery,Oakboro,NC,https://textileconnect.com/directory/b-d-hosiery/,https://textileconnect.com/directory/b-d-hosiery/,https://textileconnect.com/directory/b-d-hosiery/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & H Fabrics,Greensboro,NC,https://textileconnect.com/directory/b-h-fabrics/,https://textileconnect.com/directory/b-h-fabrics/,https://textileconnect.com/directory/b-h-fabrics/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & J Knits Inc,Statesville,NC,https://textileconnect.com/directory/b-j-knits-inc/,https://textileconnect.com/directory/b-j-knits-inc/,https://textileconnect.com/directory/b-j-knits-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & M Wholesale,Mt Airy,NC,https://textileconnect.com/directory/b-m-wholesale/,https://textileconnect.com/directory/b-m-wholesale/,https://textileconnect.com/directory/b-m-wholesale/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B&R Innovations LLC,Bethpage,NY,https://textileconnect.com/directory/br-innovations-llc/,https://textileconnect.com/directory/br-innovations-llc/,https://textileconnect.com/directory/br-innovations-llc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B&R Textile – Temporarily Closed,New York,NY,https://textileconnect.com/directory/br-textile-temporarily-closed/,https://textileconnect.com/directory/br-textile-temporarily-closed/,https://textileconnect.com/directory/br-textile-temporarily-closed/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & S Socks,Asheboro,NC,https://textileconnect.com/directory/b-s-socks/,https://textileconnect.com/directory/b-s-socks/,https://textileconnect.com/directory/b-s-socks/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & W Fiberglass – Forest City,Forest,NC,https://textileconnect.com/directory/b-w-fiberglass-forest-city/,https://textileconnect.com/directory/b-w-fiberglass-forest-city/,https://textileconnect.com/directory/b-w-fiberglass-forest-city/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
B & W Fiberglass – Shelby,Shelby,NC,https://textileconnect.com/directory/b-w-fiberglass-shelby/,https://textileconnect.com/directory/b-w-fiberglass-shelby/,https://textileconnect.com/directory/b-w-fiberglass-shelby/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Babee Greens,Asheville,NC,https://textileconnect.com/directory/babee-greens/,https://textileconnect.com/directory/babee-greens/,https://textileconnect.com/directory/babee-greens/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
